   256.4       0  -128.2   96.15       0       0       0       0       0       0       0       0       0       0
       0   192.3  -96.15   48.07       0       0       0       0       0       0       0       0       0       0
  -128.2  -96.15   256.4       0  -128.2   96.15       0       0       0       0       0       0       0       0
   96.15   48.07       0   192.3  -96.15   48.07       0       0       0       0       0       0       0       0
       0       0  -128.2  -96.15   256.4       0  -128.2   96.15       0       0       0       0       0       0
       0       0   96.15   48.07       0   192.3  -96.15   48.07       0       0       0       0       0       0
       0       0       0       0  -128.2  -96.15   256.4       0  -128.2   96.15       0       0       0       0
       0       0       0       0   96.15   48.07       0   192.3  -96.15   48.07       0       0       0       0
       0       0       0       0       0       0  -128.2  -96.15   256.4       0  -128.2   96.15       0       0
       0       0       0       0       0       0   96.15   48.07       0   192.3  -96.15   48.07       0       0
       0       0       0       0       0       0       0       0  -128.2  -96.15   256.4       0  -128.2   96.15
       0       0       0       0       0       0       0       0   96.15   48.07       0   192.3  -96.15   48.07
       0       0       0       0       0       0       0       0       0       0  -128.2  -96.15   256.4       0
       0       0       0       0       0       0       0       0       0       0   96.15   48.07       0   192.3
